INTF ID,Gregory-Aland,Unambiguous Agreements (A),Ambiguous Agreements (≟),Unambiguous Disagreements (D),Similarity Lower Bound,Similarity Mean,Similarity Upper Bound,Rank
31504,1504,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1377
30759,759,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1378
31085,1085,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1379
31697,1697,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1380
30694,694,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1381
30900,900,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1382
31068,1068,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1383
31007,1007,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1384
30783,783,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1385
31498,1498,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1386
30655,655,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1387
30779,779,37,59,31,0.426185789404792,0.5441176470588235,0.6572074714983553,1388
32373,2373,25,27,21,0.4011572295653571,0.5434782608695652,0.6788847314842605,1389
30861,861,50,61,42,0.44174822882878345,0.5434782608695652,0.6416422080420288,1390
30652,652,50,61,42,0.44174822882878345,0.5434782608695652,0.6416422080420288,1391
31256,1256,50,57,42,0.44174822882878345,0.5434782608695652,0.6416422080420288,1392
30573,573,50,61,42,0.44174822882878345,0.5434782608695652,0.6416422080420288,1393
30954,954,50,61,42,0.44174822882878345,0.5434782608695652,0.6416422080420288,1394
30168,168,50,60,42,0.44174822882878345,0.5434782608695652,0.6416422080420288,1395
30983,983,50,60,42,0.44174822882878345,0.5434782608695652,0.6416422080420288,1396
30298,298,50,61,42,0.44174822882878345,0.5434782608695652,0.6416422080420288,1397
30744,744,50,61,42,0.44174822882878345,0.5434782608695652,0.6416422080420288,1398
30144,144,44,55,37,0.4349423963645584,0.5432098765432098,0.6474690515611273,1399
30532,532,44,42,37,0.4349423963645584,0.5432098765432098,0.6474690515611273,1400
30382,382,51,59,43,0.44191295491893107,0.5425531914893617,0.6397751977489377,1401
30841,841,51,59,43,0.44191295491893107,0.5425531914893617,0.6397751977489377,1402
31285,1285,51,59,43,0.44191295491893107,0.5425531914893617,0.6397751977489377,1403
30657,657,46,60,39,0.4354867134293245,0.5411764705882353,0.6432202097729898,1404
30733,733,40,50,34,0.4274789092220849,0.5405405405405406,0.6494995096937125,1405
30831,831,40,59,34,0.4274789092220849,0.5405405405405406,0.6494995096937125,1406
31388,1388,47,59,40,0.4357612607078845,0.5402298850574713,0.6412154866902771,1407
30930,930,47,59,40,0.4357612607078845,0.5402298850574713,0.6412154866902771,1408
31056,1056,47,61,40,0.4357612607078845,0.5402298850574713,0.6412154866902771,1409
31541,1541,47,61,40,0.4357612607078845,0.5402298850574713,0.6412154866902771,1410
32751,2751,47,65,40,0.4357612607078845,0.5402298850574713,0.6412154866902771,1411
30581,581,47,66,40,0.4357612607078845,0.5402298850574713,0.6412154866902771,1412
30399,399,48,64,41,0.4360366456263903,0.5393258426966292,0.6392843213872083,1413
30080,80,48,64,41,0.4360366456263903,0.5393258426966292,0.6392843213872083,1414
31398,1398,48,64,41,0.4360366456263903,0.5393258426966292,0.6392843213872083,1415
31474,1474,48,64,41,0.4360366456263903,0.5393258426966292,0.6392843213872083,1416
30305,305,48,63,41,0.4360366456263903,0.5393258426966292,0.6392843213872083,1417
31484,1484,48,63,41,0.4360366456263903,0.5393258426966292,0.6392843213872083,1418
31465,1465,48,61,41,0.4360366456263903,0.5393258426966292,0.6392843213872083,1419
31468,1468,48,64,41,0.4360366456263903,0.5393258426966292,0.6392843213872083,1420
30377,377,48,64,41,0.4360366456263903,0.5393258426966292,0.6392843213872083,1421
31354,1354,48,64,41,0.4360366456263903,0.5393258426966292,0.6392843213872083,1422
31267,1267,48,59,41,0.4360366456263903,0.5393258426966292,0.6392843213872083,1423
30171,171,48,64,41,0.4360366456263903,0.5393258426966292,0.6392843213872083,1424
30232,232,48,64,41,0.4360366456263903,0.5393258426966292,0.6392843213872083,1425
31202,1202,48,64,41,0.4360366456263903,0.5393258426966292,0.6392843213872083,1426
32518,2518,48,64,41,0.4360366456263903,0.5393258426966292,0.6392843213872083,1427
30519,519,48,64,41,0.4360366456263903,0.5393258426966292,0.6392843213872083,1428
31243,1243,48,64,41,0.4360366456263903,0.5393258426966292,0.6392843213872083,1429
30578,578,48,64,41,0.4360366456263903,0.5393258426966292,0.6392843213872083,1430
30905,905,48,64,41,0.4360366456263903,0.5393258426966292,0.6392843213872083,1431
31318,1318,48,64,41,0.4360366456263903,0.5393258426966292,0.6392843213872083,1432
31605,1605,48,64,41,0.4360366456263903,0.5393258426966292,0.6392843213872083,1433
30153,153,48,64,41,0.4360366456263903,0.5393258426966292,0.6392843213872083,1434
31242,1242,49,62,42,0.4363123945939824,0.5384615384615384,0.637422492309079,1435
32446,2446,49,62,42,0.4363123945939824,0.5384615384615384,0.637422492309079,1436
32516,2516,49,62,42,0.4363123945939824,0.5384615384615384,0.637422492309079,1437
30486,486,49,62,42,0.4363123945939824,0.5384615384615384,0.637422492309079,1438
32430,2430,49,62,42,0.4363123945939824,0.5384615384615384,0.637422492309079,1439
32526,2526,49,62,42,0.4363123945939824,0.5384615384615384,0.637422492309079,1440
30406,406,49,62,42,0.4363123945939824,0.5384615384615384,0.637422492309079,1441
30996,996,49,62,42,0.4363123945939824,0.5384615384615384,0.637422492309079,1442
32546,2546,49,62,42,0.4363123945939824,0.5384615384615384,0.637422492309079,1443
31122,1122,49,60,42,0.4363123945939824,0.5384615384615384,0.637422492309079,1444
30730,730,49,62,42,0.4363123945939824,0.5384615384615384,0.637422492309079,1445
30547,547,49,62,42,0.4363123945939824,0.5384615384615384,0.637422492309079,1446
20086,086,7,5,6,0.2886094000383075,0.5384615384615384,0.7696394585519376,1447
30193,193,49,62,42,0.4363123945939824,0.5384615384615384,0.637422492309079,1448
30220,220,49,62,42,0.4363123945939824,0.5384615384615384,0.637422492309079,1449
30160,160,49,62,42,0.4363123945939824,0.5384615384615384,0.637422492309079,1450
32202,2202,14,7,12,0.35326423032200555,0.5384615384615384,0.7133274518680603,1451
30355,355,49,62,42,0.4363123945939824,0.5384615384615384,0.637422492309079,1452
31615,1615,49,62,42,0.4363123945939824,0.5384615384615384,0.637422492309079,1453
30889,889,49,62,42,0.4363123945939824,0.5384615384615384,0.637422492309079,1454
32107,2107,50,58,43,0.4365880963931194,0.5376344086021505,0.6356261022905628,1455
31220,1220,50,60,43,0.4365880963931194,0.5376344086021505,0.6356261022905628,1456
31029,1029,50,60,43,0.4365880963931194,0.5376344086021505,0.6356261022905628,1457
32735,2735,50,60,43,0.4365880963931194,0.5376344086021505,0.6356261022905628,1458
30713,713,44,55,38,0.42916083467786986,0.5365853658536586,0.6406560308236178,1459
30508,508,44,62,38,0.42916083467786986,0.5365853658536586,0.6406560308236178,1460
30888,888,52,56,45,0.4371379780102968,0.5360824742268041,0.6322154907985551,1461
30154,154,52,56,45,0.4371379780102968,0.5360824742268041,0.6322154907985551,1462
